행정구역_그룹,시간대,생활인구,총_주차면수,혼잡예상지수_v1
광탄면,00-06시,9331.702894736842,219,42.610515501081466
광탄면,06-09시,11499.760175438596,219,52.51032043579268
광탄면,12-15시,15522.214385964911,219,70.87769126011375
광탄면,18-21시,10815.397192982457,219,49.38537531042218
교하동,00-06시,8836.156929824561,198,44.62705520113415
교하동,06-09시,14351.473859649122,198,72.4821912103491
교하동,12-15시,30234.71350877193,198,152.7005732766259
교하동,18-21시,17299.623333333333,198,87.37183501683502
금촌,00-06시,80112.53429824562,1350,59.34261799870046
금촌,06-09시,78191.03771929824,1350,57.91928719948018
금촌,12-15시,75387.36403508772,1350,55.84249187784276
금촌,18-21시,80530.40421052632,1350,59.65215126705653
문산읍,00-06시,39444.472631578945,376,104.90551231802911
문산읍,06-09시,39246.72719298246,376,104.3795935983576
문산읍,12-15시,38152.36122807017,376,101.46904581933556
문산읍,18-21시,39688.02561403509,376,105.55325961179545
법원읍,00-06시,8594.993245614034,366,23.483588102770586
법원읍,06-09시,9575.033684210526,366,26.161294219154442
법원읍,12-15시,10776.018245614036,366,29.44267280222414
법원읍,18-21시,9242.627192982456,366,25.253079762247147
운정,00-06시,290056.929122807,3628,79.94953944950579
운정,06-09시,272002.44649122807,3628,74.9731109402503
운정,12-15시,231691.22631578948,3628,63.86196976730691
운정,18-21시,263501.2014035088,3628,72.62987910791311
월롱면,00-06시,11188.405964912281,224,49.94824091478697
월롱면,06-09시,24178.15631578947,224,107.93819783834586
월롱면,12-15시,35289.74228070176,224,157.5434923245614
월롱면,18-21시,14917.25,224,66.59486607142857
적성면,00-06시,6686.775614035088,403,16.592495320186323
적성면,06-09시,7331.884736842105,403,18.193262374298026
적성면,12-15시,8511.070701754386,403,21.119282138348353
적성면,18-21시,7620.591403508773,403,18.9096560881111
조리읍,00-06시,24346.444912280702,217,112.19559867410462
조리읍,06-09시,25423.210175438595,217,117.15765057805804
조리읍,12-15시,24173.67736842105,217,111.39943487751636
조리읍,18-21시,23366.581228070172,217,107.68009782520816
탄현면,00-06시,12688.236754385965,1574,8.061141521210905
탄현면,06-09시,15424.332631578947,1574,9.799448940012038
탄현면,12-15시,21990.41543859649,1574,13.971039033415813
탄현면,18-21시,16108.369824561403,1574,10.23403419603647
파주읍,00-06시,11629.456315789474,192,60.57008497807018
파주읍,06-09시,13168.620877192983,192,68.58656706871345
파주읍,12-15시,14764.103157894737,192,76.89637061403509
파주읍,18-21시,12302.949298245614,192,64.07786092836257
파평면,00-06시,3566.342807017544,268,13.30724927991621
파평면,06-09시,3917.5066666666667,268,14.617562189054727
파평면,12-15시,4569.071052631579,268,17.04877258444619
파평면,18-21시,3960.5373684210526,268,14.778124509033779
